"","estimate","se","lcl","ucl","fixed","note"
"Phi gwild2012 c1 a8.81 t9.81",0.9984391,0.0003130071,0.9976878,0.9989465,"     ",""
"Phi gwild2012 c1 a17.14 t18.14",0.9978615,0.0003850871,0.9969568,0.9984976,"     ",""
"Phi gwild2012 c1 a24.84 t25.84",0.9991951,0.0002620748,0.9984766,0.9995748,"     ",""
"Phi gwild2012 c1 a30.63 t31.63",0.9988857,0.0003967057,0.9977618,0.9994455,"     ",""
"Phi gwild2012 c1 a34.5 t35.5",0.9932065,0.0008752484,0.9912571,0.9947236,"     ",""
"Phi gwild2012 c1 a40.93 t41.93",0.9916063,0.0013302,0.988554,0.9938497,"     ",""
"Phi gwild2012 c1 a44.63 t45.63",0.9918976,0.0008290503,0.9901,0.993371,"     ",""
"Phi gwild2012 c1 a60.63 t61.63",0.9905032,0.0009020669,0.9885619,0.9921177,"     ",""
"p ghatchery2010 c1 a1.9 t2.9",0.9615488,0.0046534,0.9513147,0.9697002,"     ",""
"p ghatchery2010 c1 a8.81 t9.81",0.9533044,0.0052888,0.9417732,0.9626425,"     ",""
"p ghatchery2010 c1 a17.14 t18.14",0.9134944,0.0075092,0.8975981,0.9271233,"     ",""
"p ghatchery2010 c1 a24.84 t25.84",0.923766,0.0070111,0.9088371,0.9364211,"     ",""
"p ghatchery2010 c1 a30.63 t31.63",0.9080708,0.00782,0.8915523,0.9222925,"     ",""
"p ghatchery2010 c1 a34.5 t35.5",0.9747267,0.0039257,0.9657781,0.9813805,"     ",""
"p ghatchery2010 c1 a40.93 t41.93",0.9170138,0.007672,0.9006841,0.9308647,"     ",""
"p ghatchery2010 c1 a44.63 t45.63",0.9428468,0.006786,0.9279986,0.9547822,"     ",""
"p ghatchery2010 c1 a60.63 t61.63",0.941816,0.007678,0.9248105,0.9551618,"     ",""
"p ghatchery2011 c1 a1.9 t2.9",0.9774691,0.0029245,0.9709654,0.9825422,"     ",""
"p ghatchery2011 c1 a8.81 t9.81",0.9725407,0.0033634,0.9651205,0.9784176,"     ",""
"p ghatchery2011 c1 a17.14 t18.14",0.94824,0.0050796,0.9373294,0.9573376,"     ",""
"p ghatchery2011 c1 a24.84 t25.84",0.9545911,0.0046705,0.9445063,0.9629151,"     ",""
"p ghatchery2011 c1 a30.63 t31.63",0.9448634,0.0053131,0.9334749,0.9543976,"     ",""
"p ghatchery2011 c1 a34.5 t35.5",0.9852744,0.0024033,0.9797405,0.9893132,"     ",""
"p ghatchery2011 c1 a40.93 t41.93",0.9504226,0.0051145,0.9393818,0.9595391,"     ",""
"p ghatchery2011 c1 a44.63 t45.63",0.9662386,0.0042652,0.956803,0.9736698,"     ",""
"p ghatchery2011 c1 a60.63 t61.63",0.9656142,0.0047509,0.9549838,0.9738032,"     ",""
"p ghatchery2012 c1 a1.9 t2.9",0.9559214,0.0051824,0.9445713,0.9650334,"     ",""
"p ghatchery2012 c1 a8.81 t9.81",0.9465374,0.0058435,0.9338567,0.9568992,"     ",""
"p ghatchery2012 c1 a17.14 t18.14",0.9015541,0.0080808,0.8845417,0.9162969,"     ",""
"p ghatchery2012 c1 a24.84 t25.84",0.9131086,0.0076045,0.8970012,0.9269023,"     ",""
"p ghatchery2012 c1 a30.63 t31.63",0.8954676,0.0083673,0.877895,0.9107682,"     ",""
"p ghatchery2012 c1 a34.5 t35.5",0.9709697,0.0044291,0.9609088,0.9784991,"     ",""
"p ghatchery2012 c1 a40.93 t41.93",0.9055091,0.0083559,0.8878118,0.9206641,"     ",""
"p ghatchery2012 c1 a44.63 t45.63",0.9346682,0.0073258,0.9187566,0.9476411,"     ",""
"p ghatchery2012 c1 a60.63 t61.63",0.9335003,0.0082057,0.9154957,0.9478872,"     ",""
"p ghatchery2010 c1 a83.62 t84.62",0.99,0,0.99,0.99,"Fixed",""
